source,source_type,relation,target,target_type
36039087,Paper,MENTIONS,chaihu shugan san,Formula
36039087,Paper,MENTIONS,mice,Species
36039087,Paper,MENTIONS,vegfa,Target
36039087,Paper,MENTIONS,bdnf,Target
41802506,Paper,MENTIONS,depression,Disease
41802506,Paper,MENTIONS,sucrose preference,Experiment_indicator
41802506,Paper,MENTIONS,open field test,Experiment_indicator
41802506,Paper,MENTIONS,tail suspension test,Experiment_indicator
41802506,Paper,MENTIONS,chaihu shugan san,Formula
41802506,Paper,MENTIONS,camp,Pathway
41802506,Paper,MENTIONS,mice,Species
41802506,Paper,MENTIONS,irritability,Symptom
41802506,Paper,MENTIONS,liver qi stagnation,Syndrome
41802506,Paper,MENTIONS,il-6,Target
41802506,Paper,MENTIONS,bdnf,Target
35111057,Paper,MENTIONS,depression,Disease
35111057,Paper,MENTIONS,proteomics,Evidence
35111057,Paper,MENTIONS,bioinformatics analysis,Evidence
35111057,Paper,MENTIONS,sucrose preference,Experiment_indicator
35111057,Paper,MENTIONS,food intake,Experiment_indicator
35111057,Paper,MENTIONS,rat,Species
24015243,Paper,MENTIONS,anxiety,Disease
24015243,Paper,MENTIONS,depression,Disease
24015243,Paper,MENTIONS,open field test,Experiment_indicator
24015243,Paper,MENTIONS,rats,Species
24015243,Paper,MENTIONS,anxiety,Symptom
36545317,Paper,MENTIONS,depression,Disease
36545317,Paper,MENTIONS,network pharmacology,Evidence
36545317,Paper,MENTIONS,tail suspension test,Experiment_indicator
36545317,Paper,MENTIONS,open field test,Experiment_indicator
36545317,Paper,MENTIONS,mice,Species
20673169,Paper,MENTIONS,depression,Disease
20673169,Paper,MENTIONS,mice,Species
37924576,Paper,MENTIONS,depression,Disease
37924576,Paper,MENTIONS,metabolomics,Evidence
37924576,Paper,MENTIONS,yueju wan,Formula
37924576,Paper,MENTIONS,tryptophan metabolism,Pathway
37924576,Paper,MENTIONS,nlrp3 inflammasome,Pathway
37924576,Paper,MENTIONS,rat,Species
37924576,Paper,MENTIONS,rats,Species
37924576,Paper,MENTIONS,il-1β,Target
37924576,Paper,MENTIONS,nlrp3,Target
36279723,Paper,MENTIONS,anxiety,Disease
36279723,Paper,MENTIONS,depression,Disease
36279723,Paper,MENTIONS,xiaoyao san,Formula
36279723,Paper,MENTIONS,mice,Species
