symptom ,Herb_id,P_value,FDR(BH),FDR(Bonferroni)
Numbness Localized,SMHB00557,0.001148,0.006788,1
Seizures,SMHB00557,0,1.00E-06,0.001266
Seizure Generalized,SMHB00557,0.019905,0.04715,1
Tongue Discoloration,SMHB00557,0.012769,0.039733,1
Infantile Hemiplegia,SMHB00557,0.039422,0.067979,1
Visual Epilepsy,SMHB00557,0.019905,0.04715,1
Olfactory Uncinate Fit,SMHB00557,0.019905,0.04715,1
Tonic Seizure,SMHB00557,0.019905,0.04715,1
Hemiplegia,SMHB00557,0.039422,0.067979,1
Clonic Seizure,SMHB00557,0.039422,0.067979,1
Spastic Hemiplegia,SMHB00557,0.039422,0.067979,1
 Cough Increased,SMHB00557,0.019905,0.04715,1
 Seizure(S) Somatosensory,SMHB00557,0.019905,0.04715,1
" Hemiplegia, Post Ictal",SMHB00557,0.039422,0.067979,1
Flaccid Hemiplegia,SMHB00557,0.039422,0.067979,1
Transient Hemiplegia,SMHB00557,0.039422,0.067979,1
Seizure(S) Grand Mal,SMHB00557,0.019905,0.04715,1
High Systolic Arterial Pulse Pressure,SMHB00557,0.019905,0.04715,1
Habit Disorder,SMHB00557,2.90E-05,0.000344,0.722429
Vocal Tic,SMHB00557,2.90E-05,0.000344,0.722429
Motor Tics,SMHB00557,2.90E-05,0.000344,0.722429
Sprain Of Joint,SMHB00557,0.019905,0.04715,1
Obnubilation,SMHB00557,2.00E-06,3.40E-05,0.049708
 [D]Fit (In Non-Epileptic) Nos,SMHB00557,0.019905,0.04715,1
Blood Pressure Elevation,SMHB00557,0.019905,0.04715,1
General Discomfort,SMHB00557,0.039422,0.067979,1
Skin Benign Neoplasm,SMHB00557,0.019905,0.04715,1
Hemiparesis,SMHB00557,0.002268,0.011863,1
Disorder Of Skin And Subcutaneous Tissue,SMHB00557,0.019905,0.04715,1
Alternate Hemiplegia,SMHB00557,0.039422,0.067979,1
Localized; Swelling,SMHB00106,0.040872,0.069693,1
 Physical Suffering,SMHB00106,None,None,None
Rheumatism,SMHB00106,None,None,None
"Melena
",SMHB00106,None,None,None
Smarting Of Skin,SMHB00106,0.006923,0.027968,1
Hematoma,SMHB00106,0.013802,0.040951,1
Muscle Weakness,SMHB00106,0.027425,0.055251,1
Hyperalgia,SMHB00106,None,None,None
Skin Pain,SMHB00106,0.006923,0.027968,1
Bite Wound Insect,SMHB00106,None,None,None
Pain,SMHB00106,None,None,None
Arthritic Pains,SMHB00106,None,None,None
Infantile Hemiplegia,SMHB00106,None,None,None
Burning Pain,SMHB00106,None,None,None
 Splitting Pain,SMHB00106,None,None,None
Skin Swelling,SMHB00106,0.013802,0.040951,1
Hemiplegia,SMHB00106,None,None,None
Spastic Hemiplegia,SMHB00106,None,None,None
 Migratory Pain,SMHB00106,None,None,None
Musculoskeletal Pain,SMHB00106,0.013802,0.040951,1
" Hemiplegia, Post Ictal",SMHB00106,None,None,None
Swelling,SMHB00106,None,None,None
Flaccid Hemiplegia,SMHB00106,None,None,None
Ache,SMHB00106,None,None,None
Transient Hemiplegia,SMHB00106,None,None,None
Pain Radiating,SMHB00106,None,None,None
Crushing Pain,SMHB00106,None,None,None
General Discomfort,SMHB00106,0.013802,0.040951,1
Lower Extremity Paresthesia,SMHB00106,None,None,None
Hemiparesis,SMHB00106,None,None,None
Extremity Paresthesia,SMHB00106,None,None,None
Difficulty Walking,SMHB00106,0.020636,0.048222,1
Alternate Hemiplegia,SMHB00106,None,None,None
Abdominal Tenderness,SMHB00107,0.016876,0.044684,1
 Physical Suffering,SMHB00107,None,None,None
Gastric Disorder,SMHB00107,0.033474,0.061708,1
Vomiting Neonatal,SMHB00107,0.016876,0.044684,1
Anterior Cervical Pains,SMHB00107,0.016876,0.044684,1
Abdominal Pain,SMHB00107,None,None,None
Hyperalgia,SMHB00107,None,None,None
Diarrhea,SMHB00107,None,None,None
Yang Deficiency,SMHB00107,None,None,None
Emesis,SMHB00107,None,None,None
Pain,SMHB00107,None,None,None
"Cervical Pain, Posterior",SMHB00107,0.016876,0.044684,1
Eating Disorder,SMHB00107,0.000824,0.005196,1
Burning Pain,SMHB00107,None,None,None
 Splitting Pain,SMHB00107,None,None,None
Hiccups,SMHB00107,None,None,None
Ocular Discomfort,SMHB00107,None,None,None
Anorexia,SMHB00107,0.002688,0.013583,1
 Migratory Pain,SMHB00107,None,None,None
Joint Stiffness,SMHB00107,0.016876,0.044684,1
Ache,SMHB00107,None,None,None
Asthenia,SMHB00107,None,None,None
Pain Precordial,SMHB00107,4.00E-06,6.80E-05,0.110274
Loss Of Appetite,SMHB00107,0.016876,0.044684,1
Gagging,SMHB00107,None,None,None
Pain Radiating,SMHB00107,None,None,None
Crushing Pain,SMHB00107,None,None,None
Abnormal Ejaculation,SMHB00107,0.033474,0.061708,1
Hyperexcitation,SMHB00107,0.016876,0.044684,1
 Hyperexcitation,SMHB00107,0.016876,0.044684,1
Neck Pain,SMHB00107,0.016876,0.044684,1
Typhoid Fever,SMHB00107,None,None,None
General Abdominal Pain-Symptom,SMHB00107,0.016876,0.044684,1
Decreased Appetite,SMHB00107,None,None,None
Difficulty Walking,SMHB00107,None,None,None
Constipation,SMHB00105,None,None,None
 Physical Suffering,SMHB00105,None,None,None
Suppuration,SMHB00105,0.044655,0.074068,1
Bright Red Blood Per Rectum,SMHB00105,None,None,None
"Melena
",SMHB00105,7.90E-05,0.000783,1
Hyperalgia,SMHB00105,None,None,None
Joint Dislocation,SMHB00105,0.009087,0.033209,1
Pain,SMHB00105,None,None,None
Limb Discomfort,SMHB00105,None,None,None
Bloody Stool,SMHB00105,None,None,None
Burning Pain,SMHB00105,None,None,None
 Splitting Pain,SMHB00105,None,None,None
 Anal Discomforts,SMHB00105,None,None,None
Pus,SMHB00105,0.044655,0.074068,1
 Migratory Pain,SMHB00105,None,None,None
Carbuncle,SMHB00105,None,None,None
Uterine Bleeding,SMHB00105,2.20E-05,0.000275,0.548661
Hemorrhage Postpartum,SMHB00105,0.005777,0.024614,1
Skin Ulcer(S),SMHB00105,None,None,None
Swelling,SMHB00105,None,None,None
Ache,SMHB00105,None,None,None
Scald,SMHB00105,0.018095,0.046235,1
Anus,SMHB00105,0.018095,0.046235,1
Defecation Pain,SMHB00105,None,None,None
Second Degree Burn,SMHB00105,0.009087,0.033209,1
Colonic Inertia,SMHB00105,None,None,None
Hemorrhoid Bleeding,SMHB00105,0.000235,0.001918,1
Metrorrhagia,SMHB00105,None,None,None
Pain Radiating,SMHB00105,None,None,None
Crushing Pain,SMHB00105,None,None,None
Menorrhagia,SMHB00105,0.001607,0.008972,1
Menometrorrhagia,SMHB00105,0.001607,0.008972,1
Bloody Diarrhea,SMHB00105,0.018095,0.046235,1
Burn Injury,SMHB00105,0.044655,0.074068,1
Anasarca,SMHB00111,None,None,None
Behavior Drinking,SMHB00111,0.008637,0.032544,1
Edema,SMHB00111,None,None,None
Thirst,SMHB00111,None,None,None
 Unable To Urinate,SMHB00111,0.008637,0.032544,1
Urinary Tract Infection,SMHB00111,0.004327,0.019882,1
Right Flank Pain,SMHB00108,None,None,None
 Physical Suffering,SMHB00108,None,None,None
Cough Productive,SMHB00108,None,None,None
Muscle Fatigue,SMHB00108,None,None,None
Hemoptysis,SMHB00108,None,None,None
Mechanical Low Back Pain,SMHB00108,0,0,0
Flank Pain,SMHB00108,None,None,None
 Recurrent Low Back Pain,SMHB00108,0,0,0
Abdominal Pain,SMHB00108,None,None,None
Hyperalgia,SMHB00108,None,None,None
Yang Deficiency,SMHB00108,None,None,None
Urinary Tract Stone,SMHB00108,None,None,None
Pain,SMHB00108,None,None,None
Knee(S) Pain,SMHB00108,None,None,None
Oligospermia,SMHB00108,None,None,None
Cough,SMHB00108,None,None,None
Burning Pain,SMHB00108,None,None,None
 Splitting Pain,SMHB00108,None,None,None
Bronchial Asthma,SMHB00108,None,None,None
Loin Pain,SMHB00108,0,4.00E-06,0.00391
Postural Low Back Pain,SMHB00108,0,0,0
 Migratory Pain,SMHB00108,None,None,None
Ache,SMHB00108,None,None,None
Enuresis,SMHB00108,0.032117,0.060278,1
Asthenia,SMHB00108,None,None,None
"Ejaculation
",SMHB00108,None,None,None
Left Flank Pain,SMHB00108,None,None,None
Pain Radiating,SMHB00108,None,None,None
Crushing Pain,SMHB00108,None,None,None
Posterior Compartment Low Back Pain,SMHB00108,0,0,0
Cough Persistent,SMHB00108,None,None,None
Right Flank Pain,SMHB00109,None,None,None
Stroke,SMHB00109,None,None,None
Mechanical Low Back Pain,SMHB00109,None,None,None
Flank Pain,SMHB00109,None,None,None
Anasarca,SMHB00109,None,None,None
 Recurrent Low Back Pain,SMHB00109,None,None,None
Dysuria,SMHB00109,7.00E-05,0.000711,1
Behavior Drinking,SMHB00109,0.01981,0.04715,1
Edema,SMHB00109,None,None,None
Pneumatosis,SMHB00109,0.009952,0.034881,1
Orofacial Oedema,SMHB00109,0.009952,0.034881,1
Micturition Disorder,SMHB00109,None,None,None
Discoloration Urine,SMHB00109,0.001931,0.010387,1
 Cva Nos Acute,SMHB00109,None,None,None
Discoloration Urine,SMHB00109,0.001931,0.010387,1
Loin Pain,SMHB00109,None,None,None
Hand Swelling,SMHB00109,0.009952,0.034881,1
Flatulence,SMHB00109,None,None,None
Postural Low Back Pain,SMHB00109,None,None,None
Thirst,SMHB00109,None,None,None
Skin Ulcer(S),SMHB00109,None,None,None
Swelling,SMHB00109,None,None,None
Enuresis,SMHB00109,None,None,None
Prostatism,SMHB00109,0.009952,0.034881,1
Left Flank Pain,SMHB00109,None,None,None
Bloating Feeling,SMHB00109,None,None,None
Posterior Compartment Low Back Pain,SMHB00109,None,None,None
Sharp Headache,SMHB00110,None,None,None
Scrotum,SMHB00110,None,None,None
"Sputums, Induced",SMHB00110,4.30E-05,0.000473,1
"Headache, Periorbital",SMHB00110,None,None,None
Vertebrogenic Pain Syndrome,SMHB00110,None,None,None
Bilateral Headache,SMHB00110,None,None,None
Urologic Disease,SMHB00110,0.013802,0.040951,1
Ocular Headache,SMHB00110,None,None,None
Cyst,SMHB00110,None,None,None
Headache Throbbing,SMHB00110,None,None,None
Vagina,SMHB00110,0.020636,0.048222,1
Radiculopathy,SMHB00110,None,None,None
Gastrointestinal Discomfort,SMHB00110,None,None,None
Rhinorrhea,SMHB00110,None,None,None
Orthostatic Headache,SMHB00110,None,None,None
Blood Prolactin Decreased,SMHB00110,None,None,None
Quadriplegic Spinal Paralysis,SMHB00110,None,None,None
Liver Tender,SMHB00110,None,None,None
Nerve Root Disorder,SMHB00110,None,None,None
 Cerebromedullospinal Disconnection,SMHB00110,None,None,None
Flaccid Tetraplegia,SMHB00110,None,None,None
Back Pain Without Radiation Nos,SMHB00110,None,None,None
Back Pain With Radiation,SMHB00110,None,None,None
Tongue Discoloration,SMHB00110,None,None,None
Cough,SMHB00110,2.00E-06,2.90E-05,0.042011
Hair Dryness,SMHB00110,None,None,None
Cervical Radiculopathy,SMHB00110,None,None,None
Quadriparesis,SMHB00110,None,None,None
Sputum,SMHB00110,4.30E-05,0.000473,1
Spastic Quadriplegia,SMHB00110,None,None,None
 Cough Increased,SMHB00110,None,None,None
Joint Swollen,SMHB00110,None,None,None
Backache,SMHB00110,None,None,None
 Generalised Headache,SMHB00110,None,None,None
Quadriplegia,SMHB00110,None,None,None
 Stomach Discomfort,SMHB00110,None,None,None
"Avulsion, Nerve Root",SMHB00110,None,None,None
Tachypnea,SMHB00110,None,None,None
Vertex Headache,SMHB00110,None,None,None
"Headache, Retro-Ocular",SMHB00110,None,None,None
Compression Nerve Root,SMHB00110,None,None,None
"Headache, Dull",SMHB00110,None,None,None
Cough Persistent,SMHB00110,0.000664,0.00437,1
Headache Unilateral,SMHB00110,None,None,None
Radiculitis,SMHB00110,None,None,None
Headache,SMHB00110,None,None,None
Sputum Purulent,SMHB00110,0.003897,0.018231,1
Chilliness,SMHB00110,None,None,None
Appendicitis,SMHB00110,0.020636,0.048222,1
Pharyngolaryngitis,SMHB00550,0.027508,0.055251,1
Larynx,SMHB00550,0.00181,0.009889,1
Laryngopharyngeal Dysaesthesia,SMHB00550,4.70E-05,0.000505,1
Neoplastic Growth,SMHB00550,0.001096,0.006521,1
Localized; Swelling,SMHB00550,0.002692,0.013583,1
Laryngeal Pain,SMHB00550,0.013847,0.040951,1
Cyst,SMHB00550,0.00181,0.009889,1
Laryngeal Edema,SMHB00550,0.013847,0.040951,1
Smarting Of Skin,SMHB00550,0.013847,0.040951,1
Hematoma,SMHB00550,0.027508,0.055251,1
Skin Pain,SMHB00550,0.013847,0.040951,1
Bite Wound Insect,SMHB00550,0.013847,0.040951,1
Chest Mass,SMHB00550,0.027508,0.055251,1
Skin Swelling,SMHB00550,0.027508,0.055251,1
Pelvis Tumor,SMHB00550,0.013847,0.040951,1
Ache,SMHB00550,0.03922,0.067979,1
Neoplasm Benign Nos,SMHB00550,0.013847,0.040951,1
Pharynx Disease,SMHB00550,0.027508,0.055251,1
Tonsillitis,SMHB00550,0.027508,0.055251,1
Throat Tightness,SMHB00550,1.00E-06,1.90E-05,0.025561
Snake Venom Causing Toxic Effect,SMHB00550,0.013847,0.040951,1
Abdomen Tumor,SMHB00550,0.027508,0.055251,1
Pharyngolaryngeal Pain,SMHB00550,1.00E-06,1.90E-05,0.025561
Edema Pharynx,SMHB00550,0.000553,0.003809,1
Abdomen Distention,SMHB00112,None,None,None
Abdominal Tenderness,SMHB00112,0.024665,0.052886,1
"Seizure, Convulsion",SMHB00112,None,None,None
 Physical Suffering,SMHB00112,None,None,None
Gastric Disorder,SMHB00112,0.048731,0.078259,1
Vomiting Neonatal,SMHB00112,0.024665,0.052886,1
Sensory Seizure,SMHB00112,None,None,None
Comedome,SMHB00112,None,None,None
Abdominal Pain,SMHB00112,None,None,None
Seizure Focal,SMHB00112,None,None,None
Chest Pain,SMHB00112,0.028502,0.056245,1
Hunger Abnormal,SMHB00112,None,None,None
Hyperalgia,SMHB00112,None,None,None
Diarrhea,SMHB00112,None,None,None
Seizure(S) Jacksonian,SMHB00112,None,None,None
Alcohol Abuse,SMHB00112,None,None,None
Induration Of Breast,SMHB00112,None,None,None
Liver Tender,SMHB00112,0.048731,0.078259,1
Emesis,SMHB00112,None,None,None
Pain,SMHB00112,None,None,None
Seizures,SMHB00112,None,None,None
Seizure Generalized,SMHB00112,None,None,None
Burning Pain,SMHB00112,None,None,None
Visual Epilepsy,SMHB00112,None,None,None
 Splitting Pain,SMHB00112,None,None,None
Digestion Impaired,SMHB00112,None,None,None
Olfactory Uncinate Fit,SMHB00112,None,None,None
Hiccups,SMHB00112,None,None,None
Abdomen Discomfort,SMHB00112,None,None,None
Flatulence,SMHB00112,None,None,None
Tonic Seizure,SMHB00112,None,None,None
Clonic Seizure,SMHB00112,None,None,None
 Migratory Pain,SMHB00112,None,None,None
 Seizure(S) Somatosensory,SMHB00112,None,None,None
Ache,SMHB00112,None,None,None
Seizure(S) Grand Mal,SMHB00112,None,None,None
 name Dilation,SMHB00112,None,None,None
Aphagia,SMHB00112,0.024665,0.052886,1
Asthenia,SMHB00112,None,None,None
Belching,SMHB00112,None,None,None
Dyspepsia,SMHB00112,None,None,None
Loss Of Appetite,SMHB00112,0.024665,0.052886,1
Bloating Feeling,SMHB00112,None,None,None
Gagging,SMHB00112,None,None,None
Pain Radiating,SMHB00112,None,None,None
Crushing Pain,SMHB00112,None,None,None
 [D]Fit (In Non-Epileptic) Nos,SMHB00112,None,None,None
 Dyspepsia-Aggravated,SMHB00112,None,None,None
Chest Symptom Heaviness,SMHB00112,None,None,None
Chest Symptom Heaviness,SMHB00112,None,None,None
Typhoid Fever,SMHB00112,None,None,None
General Abdominal Pain-Symptom,SMHB00112,0.024665,0.052886,1
Decreased Appetite,SMHB00112,None,None,None
Duodenal Ulcer Hemorrhage,SMHB00543,0.008222,0.031456,1
Contusion,SMHB00543,0.040472,0.069195,1
Bronchiectasis,SMHB00543,6.40E-05,0.000658,1
Skin Breakdown,SMHB00543,0.008222,0.031456,1
Scalp Pruritus,SMHB00543,0.008222,0.031456,1
Scald,SMHB00543,0.016379,0.044013,1
Ulcer,SMHB00543,0.024473,0.052525,1
Second Degree Burn,SMHB00543,0.008222,0.031456,1
Lips Bleeding,SMHB00543,0.008222,0.031456,1
 Duodenitis Hemorrhagic,SMHB00543,0.008222,0.031456,1
Vaginal Bleeding,SMHB00543,0.008222,0.031456,1
Gastric Ulcer Bleeding,SMHB00543,0.008222,0.031456,1
Burn Injury,SMHB00543,0.040472,0.069195,1
Haemorrhage Ant Chamber Eye,SMHB00116,None,None,None
Hemorrhage,SMHB00116,None,None,None
Hemoptysis,SMHB00116,None,None,None
Bright Red Blood Per Rectum,SMHB00116,None,None,None
Epistaxis,SMHB00116,None,None,None
Hematemesis,SMHB00116,None,None,None
Hemorrhage Within 24 Hours Following Delivery Of Placenta,SMHB00116,0.000665,0.00437,1
Blood Disorder,SMHB00116,None,None,None
Bronchiectasis,SMHB00116,0.000112,0.001042,1
Urethra Hemorrhage,SMHB00116,None,None,None
Uterine Bleeding,SMHB00116,None,None,None
Hemorrhage Postpartum,SMHB00116,7.00E-06,0.000104,0.177101
Gingiva Hemorrhage,SMHB00116,None,None,None
Hemorrhage After First 24 Hours Following Delivery Of Placenta,SMHB00116,0.000665,0.00437,1
Thrombocytopenia,SMHB00116,None,None,None
Lips Bleeding,SMHB00116,0.010818,0.036554,1
Metrorrhagia,SMHB00116,None,None,None
Nuchal Rigidity,SMHB00116,None,None,None
Vaginal Bleeding,SMHB00116,0.010818,0.036554,1
Hemorrhages Symptoms,SMHB00116,None,None,None
Menorrhagia,SMHB00116,None,None,None
Menometrorrhagia,SMHB00116,None,None,None
Gastric Ulcer Bleeding,SMHB00116,0.010818,0.036554,1
Sharp Headache,SMHB00113,None,None,None
Right Flank Pain,SMHB00113,None,None,None
 Physical Suffering,SMHB00113,None,None,None
Limb Anomaly Congenital,SMHB00113,0.016443,0.044013,1
Joint Range Of Motion Decreased,SMHB00113,None,None,None
Heaviness Of Head,SMHB00113,0.032623,0.06074,1
Mechanical Low Back Pain,SMHB00113,None,None,None
"Headache, Periorbital",SMHB00113,None,None,None
Bilateral Headache,SMHB00113,None,None,None
Flank Pain,SMHB00113,None,None,None
Ocular Headache,SMHB00113,None,None,None
 Recurrent Low Back Pain,SMHB00113,None,None,None
Headache Throbbing,SMHB00113,None,None,None
Hyperalgia,SMHB00113,None,None,None
Radiculopathy,SMHB00113,0.016443,0.044013,1
Vidian Neuralgia,SMHB00113,0.048543,0.078022,1
Lethargy,SMHB00113,None,None,None
Orthostatic Headache,SMHB00113,None,None,None
Nerve Root Disorder,SMHB00113,0.016443,0.044013,1
Pain,SMHB00113,None,None,None
Perineal Neuralgia,SMHB00113,0.048543,0.078022,1
Iliohypogastric Nerve Neuralgia,SMHB00113,0.048543,0.078022,1
Stump Neuralgia,SMHB00113,0.048543,0.078022,1
Arthritic Pains,SMHB00113,None,None,None
Burning Pain,SMHB00113,None,None,None
 Splitting Pain,SMHB00113,None,None,None
"Neuralgia, Sluder",SMHB00113,0.016443,0.044013,1
Paroxysmal Nerve Pain,SMHB00113,0.048543,0.078022,1
Cervical Radiculopathy,SMHB00113,0.016443,0.044013,1
Loin Pain,SMHB00113,0.003789,0.017862,1
Trigeminal Autonomic Cephalgia,SMHB00113,0.016443,0.044013,1
Postural Low Back Pain,SMHB00113,None,None,None
 Migratory Pain,SMHB00113,None,None,None
Nerve Root Pain,SMHB00113,0.016443,0.044013,1
Neuralgia Facial,SMHB00113,0.016443,0.044013,1
Ache,SMHB00113,None,None,None
Neuralgia,SMHB00113,0.048543,0.078022,1
 Generalised Headache,SMHB00113,None,None,None
Left Flank Pain,SMHB00113,None,None,None
"Avulsion, Nerve Root",SMHB00113,0.016443,0.044013,1
Supraorbital Neuralgia,SMHB00113,0.048543,0.078022,1
Pain Radiating,SMHB00113,None,None,None
Crushing Pain,SMHB00113,None,None,None
Posterior Compartment Low Back Pain,SMHB00113,None,None,None
Vertex Headache,SMHB00113,None,None,None
"Headache, Retro-Ocular",SMHB00113,None,None,None
Compression Nerve Root,SMHB00113,0.016443,0.044013,1
Atypical Neuralgia,SMHB00113,0.048543,0.078022,1
Ecchymoses,SMHB00113,None,None,None
"Headache, Dull",SMHB00113,None,None,None
Ilioinguinal Neuralgia,SMHB00113,0.048543,0.078022,1
Headache Unilateral,SMHB00113,None,None,None
Radiculitis,SMHB00113,0.016443,0.044013,1
Tenderness,SMHB00113,0.032623,0.06074,1
Myofacial Pain Syndrome,SMHB00113,0.016443,0.044013,1
Headache,SMHB00113,None,None,None
Chilliness,SMHB00113,0.048543,0.078022,1
Nerve Pain,SMHB00113,0.048543,0.078022,1
Rheumatism,SMHB00629,0.02912,0.057221,1
Soft Tissue Injury,SMHB00629,5.10E-05,0.000542,1
Caustic Injury,SMHB00629,0.021916,0.049709,1
Muscle Weakness,SMHB00629,0.02912,0.057221,1
Contusion,SMHB00629,0.036274,0.064882,1
Bronchiectasis,SMHB00629,5.10E-05,0.000542,1
Musculoskeletal Pain,SMHB00629,0.014661,0.042343,1
Neck Injury,SMHB00629,0.007356,0.029106,1
Neck Stiffness,SMHB00629,0.036274,0.064882,1
Lips Bleeding,SMHB00629,0.007356,0.029106,1
Vaginal Bleeding,SMHB00629,0.007356,0.029106,1
Gastric Ulcer Bleeding,SMHB00629,0.007356,0.029106,1
Hyperostosis,SMHB00629,0.014661,0.042343,1
Abdomen Distention,SMHB00114,None,None,None
Right Flank Pain,SMHB00114,None,None,None
 Physical Suffering,SMHB00114,None,None,None
"Mental Retardations, Psychosocial",SMHB00114,0.015145,0.043192,1
"Sputums, Induced",SMHB00114,None,None,None
Mechanical Low Back Pain,SMHB00114,None,None,None
Flank Pain,SMHB00114,None,None,None
 Recurrent Low Back Pain,SMHB00114,None,None,None
Behavior Disorder,SMHB00114,0.030067,0.058016,1
Vulvovaginal Swelling,SMHB00114,None,None,None
Hyperalgia,SMHB00114,None,None,None
Pupil Dilated,SMHB00114,0.015145,0.043192,1
Profound Mental Retardation,SMHB00114,0.015145,0.043192,1
Sexual Dysfunction,SMHB00114,0.044769,0.074169,1
Pain,SMHB00114,None,None,None
Knee(S) Pain,SMHB00114,None,None,None
Burning Pain,SMHB00114,None,None,None
 Orthostasis,SMHB00114,None,None,None
 Splitting Pain,SMHB00114,None,None,None
Lightheadedness,SMHB00114,None,None,None
Loin Pain,SMHB00114,None,None,None
Postural Low Back Pain,SMHB00114,None,None,None
Sputum,SMHB00114,None,None,None
 Migratory Pain,SMHB00114,None,None,None
Dizziness,SMHB00114,None,None,None
Ache,SMHB00114,None,None,None
Mental Retardation,SMHB00114,0.030067,0.058016,1
Asthenia,SMHB00114,None,None,None
Left Flank Pain,SMHB00114,None,None,None
Hemorrhage Of Pregnancy,SMHB00114,0.002166,0.011459,1
Pregnancy Disorder,SMHB00114,0.015145,0.043192,1
Pain Radiating,SMHB00114,None,None,None
Crushing Pain,SMHB00114,None,None,None
Posterior Compartment Low Back Pain,SMHB00114,None,None,None
Mental Deficiency,SMHB00114,0.015145,0.043192,1
Abnormal Ejaculation,SMHB00114,0.030067,0.058016,1
Atrophy,SMHB00114,None,None,None
Right Flank Pain,SMHB00115,None,None,None
 Physical Suffering,SMHB00115,None,None,None
Mechanical Low Back Pain,SMHB00115,0,0,0
